,id,comp-1,comp-2,first_author_female,last_author_female,majority_female_binary,topic,climatejusticescore
7110,456041,1.5257165,34.594864,0.0,1.0,unknown,Topic35,0.0374427493449096
7111,456064,-29.540844,-8.155648,0.0,0.0,0.0,Topic112,0.054931087459234466
7112,456084,-36.875553,24.118689,0.0,0.0,0.0,Topic93,0.004160163197871509
7113,456089,9.246154,-48.15108,0.0,1.0,0.0,Topic8,0.11409440554479221
7114,456098,25.159924,8.70412,unknown,0.0,unknown,Topic37,0.3090450355492168
7115,456119,8.314802,2.769952,1.0,0.0,1.0,Topic107,0.12123682782862241
7116,456201,-10.673255,27.206562,0.0,1.0,0.0,Topic3,0.10397707780210219
7117,456331,26.452566,24.953379,0.0,unknown,0.0,Topic91,0.730387055024573
7118,456432,22.29148,36.606396,0.0,0.0,0.0,Topic89,0.3521909784384416
7119,456467,-6.0222983,-13.661081,0.0,unknown,unknown,Topic104,0.03378625280464954
7120,456629,-37.34522,-5.3224645,1.0,1.0,1.0,Topic29,0.0512879943646488
7121,456659,14.931619,18.823343,1.0,1.0,1.0,Topic50,0.58169887037243
7122,456883,41.2794,-30.01138,1.0,0.0,0.5,Topic34,0.17695840383449687
7123,456903,-12.196152,22.120586,1.0,0.0,0.0,Topic9,0.0191328360885772
7124,457069,-36.728622,-25.089167,0.0,unknown,unknown,Topic117,0.025893092618031945
7125,457117,39.27968,-18.1861,0.0,0.0,0.0,Topic83,0.4809221031896292
7126,457128,40.373882,15.226324,1.0,1.0,1.0,Topic44,0.49364099486389357
7127,457148,33.460083,-27.205824,0.0,0.0,0.0,Topic37,0.1598721002252628
7128,457368,48.72543,-3.2467573,0.0,0.0,0.0,Topic81,0.4511793147999191
7129,457375,41.320415,-14.644358,0.0,0.0,unknown,Topic83,0.3413717268920421
7130,457382,38.248386,15.231748,1.0,0.0,0.5,Topic44,0.35531647053942095
7131,457614,-39.71031,-3.297621,1.0,0.0,0.5,Topic111,0.011390085129460398
7132,457694,-25.162271,-12.872689,0.0,0.0,0.0,Topic111,0.017361042708570442
7133,458023,-12.555835,-8.578987,1.0,1.0,1.0,Topic31,0.2479489983559864
7134,458077,22.937567,-12.850351,0.0,0.0,0.0,Topic40,0.268375942524553
7135,458092,27.397457,10.517463,1.0,0.0,0.0,Topic37,0.3164994367914399
7136,458221,-10.712547,24.323965,1.0,0.0,unknown,Topic94,0.0038701044688162524
7137,458331,-6.473376,37.410137,1.0,1.0,0.5,Topic68,0.18930911886136237
7138,458431,-36.642097,-34.132736,0.0,0.0,0.0,Topic28,0.0383386140054916
7139,458628,-30.211905,30.758722,0.0,0.0,0.0,Topic66,0.0391430203214117
7140,458640,-7.7217684,0.14112578,unknown,0.0,unknown,Topic119,0.1382865494440515
7141,458641,-10.535596,38.32601,0.0,0.0,0.0,Topic112,0.062202995721348305
7142,458683,44.953938,7.0322204,0.0,0.0,0.0,Topic80,0.374868796393534
7143,458701,-38.289036,25.3444,0.0,0.0,0.0,Topic93,0.060535131919533594
